32227, the room, <all>, bed
32237, the room, <all>, desk
32247, the room, <all>, closet
32257, the room, <all>, shelf
32267, the room, <all>, easel
32277, the room, <all>, bathroom sink
32208, the room, <all>, shower
32218, the room, <all>, toilet
32228, the room, <all>, kitchen sink
32238, the room, <all>, refrigerator
32139, the room, <all>, furnace
32248, the room, <all>, toaster
32258, the room, <all>, cooking area
32268, the room, <all>, common room table
32278, the room, <all>, common room sofa
32209, the room, <all>, guitar
32219, the room, <all>, microphone
32229, the room, <all>, bar customer seating
32239, the room, <all>, behind the bar counter
32249, the room, <all>, behind the cafe counter
32259, the room, <all>, cafe customer seating
32269, the room, <all>, piano
32279, the room, <all>, blackboard
32210, the room, <all>, game console
32220, the room, <all>, computer desk
32230, the room, <all>, computer
32240, the room, <all>, library sofa
32250, the room, <all>, bookshelf
32260, the room, <all>, library table
32270, the room, <all>, classroom student seating
32280, the room, <all>, classroom podium
32211, the room, <all>, behind the pharmacy counter
32221, the room, <all>, behind the grocery counter
32231, the room, <all>, pharmacy store shelf
32241, the room, <all>, grocery store shelf
32251, the room, <all>, pharmacy store counter
32261, the room, <all>, grocery store counter
32271, the room, <all>, supply store product shelf
32281, the room, <all>, behind the supply store counter
32212, the room, <all>, supply store counter
32222, the room, <all>, dorm garden
32232, the room, <all>, house garden
32242, the room, <all>, garden chair
32252, the room, <all>, park garden
32262, the room, <all>, harp
32272, the room, <all>, lifting weight
32282, the room, <all>, pool table
