Date,Time,Movement_X,Movement_Y,Location,Object,Action
2023-02-13,06:00:00,2,3,the Ville:Isabella Rodriguez's apartment:main room,,waking up and completing her morning routine
2023-02-13,06:00:10,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:00:20,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:00:30,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:00:40,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:00:50,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:00,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:10,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:20,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:30,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:40,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:01:50,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:00,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:10,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:20,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:30,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:40,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:02:50,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:00,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:10,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:20,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:30,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:40,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
2023-02-13,06:03:50,2,2,the Ville:Isabella Rodriguez's apartment:main room,bed,waking up and completing her morning routine
