Activity,Count,Total Time (seconds),Category
completing her morning routine,360,3600,Personal care activities
making a cup of tea,60,600,Household activities
sitting in her favorite chair,60,600,Leisure and sports
turning on her favorite music,30,300,Leisure and sports
closing her eyes and taking deep breaths,60,600,Personal care activities
sipping her tea and enjoying the music,60,600,Eating and drinking
checking her phone for any important messages,60,600,"Telephone calls, mail, and e-mail"
reading a book,630,6300,Leisure and sports
unlocking the door to Hobbs Cafe,60,600,Working and work-related
turning on the lights in the Cafe,60,600,Working and work-related
checking the inventory and restocking any items that are low,210,2100,Working and work-related
wiping down the counters and tables,60,600,Household activities
brewing a fresh pot of coffee,90,900,Household activities
setting up the pastries and snacks for display,60,600,Work and work-related
checking the cash register and making sure there is enough change for the day,60,600,Working and work-related
turning on the furnace and TV,30,300,Household activities
turning on the furnace,30,300,Working and work-related
turning on the TV,60,600,Working and work-related
wiping down the counter and tables,120,1200,Working and work-related
setting out fresh pastries and snacks,30,300,Work and work-related
taking a break and enjoying a cup of coffee,30,300,Leisure and sports
turning on the lights and unlocking the door to Hobbs Cafe,30,300,Working and work-related
preparing the coffee machine and making sure it is clean and ready for use,60,600,Working and work-related
setting up the counter with pastries and other food items,60,600,Working and work-related
turning on the furnace and TV in the cafe,30,300,Working and work-related
greeting customers and taking their orders,360,3600,Working and work-related
making and serving drinks and food items,360,3600,Working and work-related
cleaning and restocking the counter as needed,90,900,Working and work-related
washing and drying any dishes used during the day,90,900,Personal care activities
counting the cash register and recording the day's sales,60,600,Working and work-related
turning off the lights and locking the doors,30,300,Working and work-related
putting away any leftover food or drinks,60,600,Working and work-related
turning off the furnace,30,300,Working and work-related
checking the TV to make sure it is turned off,30,300,Household activities
making herself a cup of tea,30,300,Household activities
finding a comfortable spot to sit and read,30,300,Leisure and sports
taking a break and closing her eyes,60,600,Leisure and sports
continuing to read her book,180,1800,Leisure and sports
putting her book away and getting up to stretch,30,300,Leisure and sports
getting her knitting supplies ready,30,300,Leisure and sports
choosing a knitting pattern,60,600,Leisure and sports
knitting the first row,60,600,Leisure and sports
taking a break and sipping on her tea,30,300,Leisure and sports
knitting the second row,60,600,Leisure and sports
checking her progress,30,300,Personal care activities
knitting the third row,60,600,Leisure and sports
taking a break and stretching her hands,30,300,Leisure and sports
setting the table,30,300,Household activities
heating up leftovers in the microwave,30,300,Household activities
eating her dinner,120,1200,Eating and drinking
washing her dishes,60,600,Personal care activities
putting away leftovers in the fridge,30,300,Household activities
wiping down the table,90,900,Household activities
finding a comfortable spot to sit,30,300,Leisure and sports
taking a break to stretch,120,1200,Leisure and sports
selecting a channel to watch,30,300,Leisure and sports
adjusting the volume,30,300,Leisure and sports
getting comfortable on the couch,270,2700,Leisure and sports
turning off the TV in the cafe,30,300,Working and work-related
closing the cafe and locking the door,60,600,Working and work-related
turning off the furnace in the cafe,30,300,Working and work-related
washing her face and brushing her teeth,60,600,Personal care activities
changing into her pajamas,30,300,Personal care activities
taking her medication,30,300,Personal care activities
setting her alarm for the next day,30,300,Personal care activities
turning off the lights in her bedroom,90,900,Working and work-related
going to bed and falling asleep at 8:30 pm,360,3600,Personal care activities
sleeping,721,7210,Personal care activities
