timestamp,bathroom sink,refrigerator,shower,toilet
2023-02-13 08:45:40,idle,store leftover food and drinks,idle,idle
2023-02-13 08:15:10,idle,idle,idle,idle
2023-02-13 07:55:20,idle,idle,idle,idle
2023-02-13 07:45:10,idle,frequently,idle,idle
2023-02-13 07:30:10,idle,idle,idle,idle
2023-02-13 07:20:20,idle,access frequently,idle,idle
2023-02-13 07:15:10,idle,idle,idle,idle
2023-02-13 07:05:10,idle,frequently,idle,idle
2023-02-13 07:01:30,idle,access frequently,idle,idle
2023-02-13 07:00:20,idle,idle,idle,idle
2023-02-13 06:01:30,toothpaste and water running,idle,idle,idle
2023-02-13 06:01:20,idle,idle,idle,idle
2023-02-13 06:00:00,idle,idle,idle,idle
