timestamp,kitchen sink,piano,refrigerator
2023-02-13 17:05:20,idle,idle,idle
2023-02-13 16:31:30,idle,idle,close and function
2023-02-13 16:30:20,idle,idle,idle
2023-02-13 16:16:30,empty and clean,idle,idle
2023-02-13 16:16:20,idle,idle,idle
2023-02-13 16:15:10,idle,idle,idle
2023-02-13 15:55:10,idle,idle,close
2023-02-13 15:45:10,idle,idle,keep items cold
2023-02-13 15:25:30,idle,idle,Isabella Rodriguez
2023-02-13 15:10:30,idle,idle,idle
2023-02-13 14:50:10,idle,idle,is
2023-02-13 14:35:10,idle,idle,idle
2023-02-13 14:15:10,idle,idle,in use
2023-02-13 13:45:10,idle,idle,is
2023-02-13 13:25:10,idle,idle,store food and beverages
2023-02-13 13:10:10,idle,idle,idle
2023-02-13 12:50:10,idle,idle,idle
2023-02-13 12:40:10,idle,idle,Isabella Rodriguez
2023-02-13 12:20:30,idle,idle,is
2023-02-13 12:15:10,idle,idle,idle
2023-02-13 12:00:40,idle,idle,access
2023-02-13 11:30:10,idle,idle,idle
2023-02-13 10:50:10,idle,idle,idle
2023-02-13 09:55:10,idle,idle,idle
2023-02-13 09:25:10,idle,idle,idle
2023-02-13 09:00:10,idle,idle,idle
2023-02-13 08:50:10,idle,idle,use
2023-02-13 08:20:10,idle,idle,close
2023-02-13 08:15:10,idle,idle,frequently
2023-02-13 08:10:10,idle,idle,Isabella Rodriguez
2023-02-13 08:05:10,idle,idle,is
2023-02-13 08:00:10,idle,idle,store ingredients and beverages
2023-02-13 07:50:10,idle,idle,access frequently
2023-02-13 07:45:10,idle,idle,store ingredients
2023-02-13 07:35:10,idle,idle,Isabella Rodriguez
2023-02-13 07:30:10,idle,idle,frequently
2023-02-13 07:20:10,idle,idle,is
2023-02-13 07:15:10,idle,idle,idle
2023-02-13 07:00:20,idle,idle,Isabella Rodriguez
2023-02-13 06:00:00,idle,idle,idle
