timestamp,Isabella Rodriguez,bathroom sink,bed,behind the cafe counter,cafe customer seating,closet,coffee machine,cooking area,desk,furnace,kitchen sink,piano,refrigerator,shelf,shower,toilet,tv
2023-02-13 06:00:00,Monday February 13,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 06:00:10,morning routine,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 06:00:20,morning routine,idle,null,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:00:10,is,idle,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:00:20,is,idle,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:05:10,teeth and face,idle,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:06:50,teeth and face,idle,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:07:00,teeth and face,Isabella Rodriguez,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:15:10,cafe uniform,Isabella Rodriguez,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:15:20,cafe uniform,Isabella Rodriguez,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:15:30,cafe uniform,Isabella Rodriguez,empty,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:16:10,cafe uniform,Isabella Rodriguez,empty,idle,idle,Isabella Rodriguez,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:25:10,breakfast,Isabella Rodriguez,empty,idle,idle,Isabella Rodriguez,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle
2023-02-13 07:25:20,breakfast,Isabella Rodriguez,empty,idle,idle,Isabella Rodriguez,idle,idle,idle,idle,idle,idle,Isabella Rodriguez for breakfast ingredients,idle,idle,idle,idle
2023-02-13 07:40:10,breakfast,Isabella Rodriguez,empty,idle,idle,Isabella Rodriguez,idle,idle,idle,idle,idle,idle,Isabella Rodriguez,idle,idle,idle,idle
2023-02-13 07:40:20,breakfast,Isabella Rodriguez,empty,idle,idle,Isabella Rodriguez,idle,idle,idle,idle,idle,idle,Isabella Rodriguez,idle,idle,idle,idle
